PID,Processname,process Create TIme,Local Address&port,Remote Address&port
129966,dbus-daemon, 2-14:37:20,,
129975,at-spi2-registr, 2-14:37:20,,
129979,xdg-desktop-por, 2-14:37:19,,
129990,xdg-document-po, 2-14:37:19,,
129995,xdg-permission-, 2-14:37:19,,
130005,xdg-desktop-por, 2-14:37:19,,
130013,dconf-service, 2-14:37:19,,
130020,gnome-keyring-d, 2-14:37:19,,
130038,ibus-engine-sim, 2-14:37:18,,
130047,gnome-session-c, 2-14:37:18,,
130053,gnome-session-b, 2-14:37:18,,
130069,gnome-shell, 2-14:37:18,,
130103,gnome-shell-cal, 2-14:37:15,,
130111,evolution-sourc, 2-14:37:14,,
130127,evolution-calen, 2-14:37:14,,
130135,gjs, 2-14:37:14,,
130152,evolution-addre, 2-14:37:14,,
130156,gvfsd-trash, 2-14:37:14,,
130168,gsd-a11y-settin, 2-14:37:13,,
130169,gsd-color, 2-14:37:13,,
130171,gsd-datetime, 2-14:37:14,,
130173,gsd-housekeepin, 2-14:37:14,,
130177,gsd-keyboard, 2-14:37:14,,
130180,gsd-media-keys, 2-14:37:14,,
130181,gsd-power, 2-14:37:14,,
130187,gsd-print-notif, 2-14:37:14,,
130188,gsd-rfkill, 2-14:37:14,,
130193,gsd-screensaver, 2-14:37:15,,
130194,gsd-sharing, 2-14:37:15,,
130196,gsd-smartcard, 2-14:37:15,,
130197,gsd-sound, 2-14:37:15,,
130203,evolution-alarm, 2-14:37:15,,
130216,gsd-usb-protect, 2-14:37:15,,
130220,gsd-wacom, 2-14:37:15,,
130222,gsd-disk-utilit, 2-14:37:15,,
130229,gsd-wwan, 2-14:37:16,,
130234,gsd-xsettings, 2-14:37:16,,
130292,gsd-printer, 2-14:37:15,,
130360,gnome-terminal-, 2-14:37:06,,
130370,bash, 2-14:37:04,,
130388,update-notifier, 2-14:36:16,,
130675,update-manager, 2-14:35:56,,
132085,sshd, 2-14:26:57,192.168.2.1:22,192.168.2.44:49724
132171,sshd, 2-14:26:51,,
132172,sftp-server, 2-14:26:51,,
133375,sshd, 2-14:03:38,192.168.2.1:22,192.168.2.44:49622
133435,sshd, 2-14:03:33,,
133436,bash, 2-14:03:33,,
153817,kworker/2:1-mm_percpu_wq,   13:02:28,,
171451,gdm-session-wor,   11:07:53,,
173849,cupsd,   10:47:12,,
173851,cups-browsed,   10:47:12,,
175520,kworker/0:2-events,   10:31:28,,
175701,kworker/3:0-events,   10:24:37,,
175703,kworker/1:2-cgroup_destroy,   10:24:33,,
175760,firefox,   10:24:23,192.168.2.1:46128,35.83.91.138:443
175817,Socket Process,   10:24:22,,
175845,Privileged Cont,   10:24:22,,
175895,WebExtensions,   10:24:21,,
175944,Web Content,   10:24:20,,
175946,Web Content,   10:24:20,,
175961,Web Content,   10:24:20,,
178148,kworker/3:1-mpt_poll_0,   04:38:24,,
200741,kworker/0:0-events,   01:14:33,,
200859,kworker/u8:1-events_power_efficient,      23:10,,
200876,kworker/2:2-events,      18:06,,
200881,kworker/u8:0-ext4-rsv-conversion,      17:45,,
200923,kworker/1:1-events,      13:48,,
212455,tracker-store,      01:07,,
212463,kworker/u8:2-events_freezable_power_,      00:57,,
212468,tracker-extract,      00:45,,
212486,sudo,      00:45,,
212487,bash.sh,      00:45,,
212489,,,,
212490,,,,
212491,,,,
212492,,,,
